Image	Object type	Name	Classification	Parent	ROI	Atlas_X	Atlas_Y	Atlas_Z	hemisphere	channel	Atlas_AP	Atlas_DV	Atlas_ML	animal
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	10.9908	5.7009	3.7208	Right	Negative	-6.028042965112485	4.484556014225189	-1.9792	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	11.0335	5.5828	4.1441	Right	Negative	-6.060287385502505	4.3700535335190205	-1.5559000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	10.9982	5.6788	3.9673	Right	Negative	-6.033488663963642	4.463177763312375	-1.7327000000000004	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	10.8231	6.1511	3.5291	Right	Negative	-5.900218629627496	4.921447262858367	-2.1709	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	11.1142	5.3675	4.0766	Right	Negative	-6.121915666224938	4.161077049560873	-1.6234000000000002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	11.0169	5.6273	4.1425	Right	Negative	-6.047628984066452	4.413239979277976	-1.5575	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	10.9589	5.7864	3.7	Right	Negative	-6.003716170248284	4.567532680923447	-2.0	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	10.7845	6.2516	3.827	Right	Negative	-5.870524666427293	5.019071973004967	-1.8730000000000002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	10.8433	6.0972	3.5271	Right	Negative	-5.915644067994849	4.869130600544775	-2.1729000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	10.845	6.0929	3.4981	Right	Negative	-5.916962829287792	4.864949638571498	-2.2019	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	10.7082	6.4563	3.7684	Right	Negative	-5.8123557915033395	5.217724690132493	-1.9316	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	10.7176	6.4317	3.7283	Right	Negative	-5.819575990393808	5.193832468568816	-1.9717000000000002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	SPVO	Polygon	10.9183	5.8949	3.7182	Right	Negative	-5.97272706359388	4.6728403171509	-1.9818000000000002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.293	4.8973	3.2269	Right	Negative	-6.259054648003793	3.7044769270865388	-2.4731	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.1633	5.2441	3.2284	Right	Negative	-6.160073807246181	4.041067349983023	-2.4716	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.3668	4.6978	3.4499	Right	Negative	-6.315186246044806	3.5109167791848175	-2.2501	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.3778	4.6694	3.346	Right	Negative	-6.3236691646297825	3.4833217229597233	-2.354	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.3454	4.7558	3.3804	Right	Negative	-6.298922712585007	3.5671853300921965	-2.3196000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.3413	4.7663	3.4338	Right	Negative	-6.295753449621682	3.5773904490966877	-2.2662	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DCO	Polygon	11.4217	4.5501	3.548	Right	Negative	-6.357004431766213	3.36759280288649	-2.152	animalid0
